CodeSection,count,coverage_pct,norm_section,category_auto
18.2-286,94,97.91383782490288,18.2-286,weapons
21-1/46.2-875,94,97.9241561224277,21-1,
46.2-826,94,97.93447441995251,46.2-826,traffic
46.2-716,94,97.94479271747733,46.2-716,traffic
18.2-118,93,97.95500124587954,18.2-118,property
18.2-308.012,93,97.96520977428176,18.2-308.012,weapons
19.2-295.2,93,97.97541830268396,19.2-295.2,procedural_other
18.2-67.5:1,92,97.98551706196358,18.2-67.5:1,sexual_offense
46.2-820,92,97.99561582124318,46.2-820,traffic
18.2-371.1(B),92,98.00571458052279,18.2-371.1,
18.2-67.4:2,91,98.01570357067979,18.2-67.4:2,sexual_offense
A.18.2-36.1,90,98.02558279171419,18.2-36.1,violent
46.2-878,90,98.03546201274858,46.2-878,traffic
4.1-1100,89,98.04523146466038,4.1-1100,
37.2-429,89,98.05500091657217,37.2-429,
18.2-305,88,98.06466059936136,18.2-305,weapons
18.2-36.1,86,98.07410074390535,18.2-36.1,violent
46.2-1172,85,98.08343111932672,46.2-1172,traffic
18.2-456 (6),84,98.09265172562549,18.2-456,obstruction_justice
46.2-357,84,98.10187233192427,46.2-357,traffic
53.1-131.1,83,98.11098316910044,53.1-131.1,corrections_related
18.2-370.5,83,98.1200940062766,18.2-370.5,juvenile_family
A.46.2-860,83,98.12920484345277,46.2-860,traffic
46.2-618,83,98.13831568062893,46.2-618,traffic
18.2-46.3,83,98.1474265178051,18.2-46.3,violent
18.2-181.1,82,98.15642758585867,18.2-181.1,fraud_financial
58.1-1017.3,81,98.16531888478963,58.1-1017.3,
A.46.2-865,80,98.17410041459797,46.2-865,traffic
F.46.2-874,77,98.18255263703851,46.2-874,traffic
58.1-3907,77,98.19100485947905,58.1-3907,
F.46.2-875,76,98.19934731279699,46.2-875,traffic
18.2-23/18.2-95,76,98.20768976611492,18.2-23,
18.2-312,76,98.21603221943286,18.2-312,
16.1-253,76,98.2243746727508,16.1-253,juvenile_family
A.46.2-1095,75,98.23260735694613,46.2-1095,traffic
29.1-335,75,98.24084004114147,29.1-335,
18.2-416,74,98.2489629562142,18.2-416,
A.46.2-861,74,98.25708587128692,46.2-861,traffic
18.2-460(A),73,98.26509901723705,18.2-460,obstruction_justice
46.2-105,72,98.27300239406456,46.2-105,traffic
18.2-29,72,98.28090577089208,18.2-29,
46.2-302,72,98.2888091477196,46.2-302,traffic
21-1/46.2-804,70,98.29649298630191,21-1,
18.2-266.1,69,98.30406705576162,18.2-266.1,dui_traffic_criminal
36-106,69,98.31164112522133,36-106,
18.2-331,68,98.31910542555842,18.2-331,
18.2-112,67,98.32645995677292,18.2-112,property
58.1-4018.1,67,98.33381448798741,58.1-4018.1,
18.2-174,67,98.34116901920191,18.2-174,fraud_financial
18.2-130,66,98.3484137812938,18.2-130,property
"18.2-67.3(A,1)",66,98.3556585433857,18.2-67.3,sexual_offense
18.2-441.1,65,98.36279353635499,18.2-441.1,
3.2-6521,65,98.36992852932427,3.2-6521,animal_cruelty
A.46.2-875,65,98.37706352229355,46.2-875,traffic
18.2-55,64,98.38408874614025,18.2-55,violent
18.2-308.2:01,63,98.39100420086432,18.2-308.2:01,weapons
18.2-115,63,98.3979196555884,18.2-115,property
18.2-282.1,63,98.40483511031248,18.2-282.1,weapons
18.2-56.2,63,98.41175056503656,18.2-56.2,violent
B.46.2-896,63,98.41866601976064,46.2-896,traffic
18.2-188,62,98.42547170536211,18.2-188,fraud_financial
46.2-848,62,98.43227739096359,46.2-848,traffic
46.2-875,61,98.43897330744245,46.2-875,traffic
18.2-128,61,98.44566922392133,18.2-128,property
18.2-152.4,61,98.45236514040019,18.2-152.4,property
18.2-456(A)(3),61,98.45906105687907,18.2-456,obstruction_justice
18.2-86,60,98.46564720423534,18.2-86,
46.2-818.2,59,98.472123582469,46.2-818.2,traffic
21-1/46.2-878,59,98.47859996070265,21-1,
18.2-436,59,98.48507633893631,18.2-436,
G.46.2-873,59,98.49155271716998,46.2-873,traffic
18.2-456 (A6),58,98.49791932628104,18.2-456,obstruction_justice
46.2-874,58,98.50428593539209,46.2-874,traffic
18.2-264,58,98.51065254450315,18.2-264,drug
62.1-44.32,58,98.5170191536142,62.1-44.32,
18.2-356,58,98.52338576272525,18.2-356,juvenile_family
18.2-144,57,98.52964260271371,18.2-144,property
46.2-1049,57,98.53589944270216,46.2-1049,traffic
18.2-51.2(A),56,98.54204651356801,18.2-51.2,violent
1-200,55,98.54808381531126,1-200,
18.2-374,55,98.55412111705449,18.2-374,public_order
18.2-355,55,98.56015841879774,18.2-355,juvenile_family
18.2-172.2,55,98.56619572054099,18.2-172.2,fraud_financial
18.2-213.2,55,98.57223302228422,18.2-213.2,fraud_financial
3.2-6570(A)(I),55,98.57827032402747,3.2-6570,animal_cruelty
46.2-1074,54,98.58419785664812,46.2-1074,traffic
46.2-1075,54,98.59012538926875,46.2-1075,traffic
18.2-57(A),54,98.5960529218894,18.2-57,violent
18.2-103.1,54,98.60198045451003,18.2-103.1,property
63.2-523,53,98.60779821800806,63.2-523,
54.1-2409.1,53,98.6136159815061,54.1-2409.1,drug
18.2-212,52,98.61932397588153,18.2-212,fraud_financial
18.2-474.2,52,98.62503197025696,18.2-474.2,obstruction_justice
18.2-478,51,98.63063019550978,18.2-478,obstruction_justice
16.1-253.1,50,98.63611865164,16.1-253.1,juvenile_family
46.2-846,50,98.64160710777023,46.2-846,traffic
21-1/46.2-874,49,98.64698579477785,21-1,
46.2-104,49,98.65236448178545,46.2-104,traffic
18.2-64.2,49,98.65774316879308,18.2-64.2,sexual_offense
29.1-521,49,98.6631218558007,29.1-521,
46.2-817B,48,98.6683907736857,46.2-817B,traffic
46.2-830.1,48,98.67365969157072,46.2-830.1,traffic
18.2-147.1,48,98.67892860945574,18.2-147.1,property
18.2-26/18.2-51,47,98.68408775821814,18.2-26,
18.2-308.2:5,47,98.68924690698054,18.2-308.2:5,weapons
A.46.2-874,47,98.69440605574296,46.2-874,traffic
46.2-1043,46,98.69945543538276,46.2-1043,traffic
18.2-60.5,46,98.70450481502256,18.2-60.5,
A.46.2-859,45,98.70944442553976,46.2-859,traffic
18.2-187.1,45,98.71438403605696,18.2-187.1,fraud_financial
16.1-69.24,45,98.71932364657415,16.1-69.24,juvenile_family
18.2-67,45,98.72426325709137,18.2-67,sexual_offense
3.2-6504,43,98.72898332936334,3.2-6504,animal_cruelty
B.18.2-102,43,98.73370340163534,18.2-102,property
3.2-6540,43,98.73842347390733,3.2-6540,animal_cruelty
A.46.2-1157,42,98.74303377705672,46.2-1157,traffic
18.2-35,42,98.7476440802061,18.2-35,violent
29-17,42,98.75225438335549,29-17,
18.2-67.5,42,98.75686468650487,18.2-67.5,sexual_offense
3.2-6570(A),42,98.76147498965426,3.2-6570,animal_cruelty
18.2-138,42,98.76608529280365,18.2-138,property
18.2-47(A),41,98.77058582683043,18.2-47,violent
58.1-1017,41,98.77508636085722,58.1-1017,
46.2-711,41,98.77958689488399,46.2-711,traffic
18.2-349,41,98.78408742891077,18.2-349,
18.2-308.4(A),40,98.78847819381495,18.2-308.4,weapons
18.2-152.5,40,98.79286895871913,18.2-152.5,property
18.2-460(B),40,98.7972597236233,18.2-460,obstruction_justice
